SK_Revenda,ID_Revenda,NomeRevenda
340,07e0ef9f5c52,VALDEMARIN 11 COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA
341,07e6797c554b,AFGM COM DERIVADOS DE PETROLEO LTDA
342,07ec9c2971a1,AUTO POSTO NOVA SAO JOAO II LTDA
343,07f5054f5f9d,POSTO DO ALEMAO LTDA
344,0802988fb45e,POSTO DIVINO PADRAO LTDA
345,080553992dce,COMERCIO DE COMBUSTIVEIS FLORESTAL LTDA
346,080f56f2cc70,POSTO ALTERNATIVA DE COMBUSTIVEL E SERVICO LTDA
347,08121bd9d7ef,AUTO POSTO PARCEIRAO LTDA
348,081b06419716,K.M.W. COMERCIO DE COMBUSTIVEIS LTDA.
349,08270b925d56,AUTO POSTO DE SERVICOS 207 LTDA
350,082a1096bbdd,POSTO VOVO BAIAO LTDA.
351,082e4ebaf9d9,AUTO POSTO SANTA LUZIA LTDA
352,0830807c2cf0,AUTO POSTO INTERMARES LTDA
353,0838241e240a,POSTO DA CIDADE COMERCIAL VAREJISTA DE DERIVADOS DE PETROLEO LTDA - EPP
354,083c6b5c89ce,TENDA ATACADO SA
355,083cc4c73cab,POSTAO COMERCIO E TRANSPORTE DE COMBUSTIVEIS EIRELI
356,083eb9226f59,D P N-DISTRIBUIDORA DE PRODUTOS NORDESTINOS LTDA
357,083f493417b0,POSTO DE SERVIÇOS VERA CRUZ RADIAL LTDA
358,0841cc2cf3a4,AUTO POSTO NOVO OURO NEGRO LTDA
359,08440f17d982,POSTO SANTO ANTONIO LTDA
360,084624554fe5,BRUNO LUIS THOMAZONI - EPP
361,08497737c36f,AUTO POSTO A2 LTDA
362,084e6d15c8fb,"D. SERVICE AUTO POSTO, CONVENIENCIA E ACESSORIOS PARA AUTOS LTDA"
363,084f4d054b06,COSTEIRA COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA
364,0850ffb7fc9c,ASA DELTA AUTO POSTO LTDA
365,08527af045b7,AEROPOSTO COMBUSTIVEIS AUTOMOTIVOS LTDA
366,08583f9a33ee,REDE SANTANA COMBUSTIVEIS JOAO PINHEIRO LTDA
367,0861e9d87aa6,M C D CARVALHO & CIA LTDA
368,08755dff043f,AUTTO POSTO ESPELHO DO SOL LTDA.
369,0875a53cd871,COMERCIO DE COMBUSTIVEIS POLLY POSITION LTDA
370,0890ac6182ce,MATHEUS GALLO
371,0893485e0d98,GX POSTO DE COMBUSTIVEIS LTDA
372,0899f969f24d,AUTO POSTO NILO CAIRO LTDA
373,089feb109219,AUTO POSTO BAND 1 LTDA.
374,08a6d80d471b,H. SACCHI COMERCIO DE COMBUSTIVEIS LTDA
375,08ae598d1ec6,POSTO PINHEIRINHO DE RESENDE LTDA
